,0,1
2383,"Приступили.... Полная задница, что бы там проехать.",2020-02-10 12:54:10
2384,Выходы уже реконструировали же. Сразу как-будто это всё нельзя было сделать,2020-02-10 13:38:10
2388,"Да, движение уже ухудшалось, но я рад, что на районе впервые за 30 лет начали дорожное строительство",2020-02-12 04:15:54
2380,"Молодец девочка!
Но меня интересует другое, это что в шкодах сейчас Apple стоят?",2020-02-10 09:37:53
2356,Дизелюга огонь 👍👍👍👍👍🤣🤣,2020-02-03 07:27:50
2347,Спасибо 😂,2020-02-01 23:35:29
2332,Большое спасибо!,2020-01-27 06:37:22
2333,Спасибо 😊,2020-01-28 18:05:33
2304,Спасибо.,2020-01-22 04:01:34
2291,"Спасибо большое, очень приятно 🤗",2020-01-17 05:01:38
2289,Огромное спасибо!)😘,2020-01-15 08:21:16
2253,Спасибо 😊,2020-01-05 04:42:01
2234,Спасибки,2019-12-29 05:57:38
2229,Спасибо🤗,2019-12-27 08:01:14
2202,Спасибо!,2019-12-18 11:53:23
2186,Спасибо 😊😊,2019-12-15 04:49:45
2176,СПАСИБО БОЛЬШОЕ👍🏻,2019-12-12 16:40:38
2177,С Днём Рождения братик!!!!!,2019-12-12 19:42:04
2160,"Спасибо, очень приятно",2019-12-07 08:41:04
2135,Спасибо😊,2019-11-22 05:52:44
2108,Ого) неожиданно и приятно),2019-11-14 22:26:51
2109,Свиблово привет). Уехала в деревню/Экопоселение зимовать),2019-11-14 22:29:46
2080,🥳,2019-11-09 04:22:30
2055,Спасибо!,2019-11-04 11:43:32
2060,Присоединяюсь к поздравлениям!),2019-11-05 12:53:09
2050,Поздравляю всех именинников,2019-11-02 07:06:00
2017,Спасибо!,2019-10-30 04:00:47
2005,Большое спасибо,2019-10-27 04:00:40
1995,Спасибо)),2019-10-23 06:28:44
1985,Спасибо!),2019-10-18 04:46:17
1982,Спасибо большое!😃,2019-10-17 04:29:58
1970,"Спасибо огромное, очень приятно 💐💐💐",2019-10-13 06:34:09
1941,Спасибо 😊,2019-10-11 04:02:16
1942,Благодарю,2019-10-11 05:03:36
1936,Огромное спасибо:),2019-10-08 08:30:54
1901,,2019-09-30 04:00:40
1895,"Конечно помню, это же мои дворы...",2019-09-26 09:37:28
1886,Спасибо 😊,2019-09-24 04:00:19
1871,Благодарю),2019-09-20 05:42:30
1795,"И, если я не ошибаюсь, не имеет адресов",2019-08-30 15:10:04
1704,"Спасибо большое, очень приятно и неожиданно",2019-08-18 10:26:25
1681,"Сначала портят район своей реновацией, а потом убирают газон ради парковок",2019-08-16 07:03:37
1663,Спасибо! 😄,2019-08-12 06:39:13
1618,"Кобель, чистый, сидит 2 ой день у коробки для выгула собак. Не ест, скучает.",2019-06-27 06:28:18
1604,По ахам поняли?,2019-05-22 08:13:17
1605,Завистники...,2019-05-22 08:13:33
1591,Какой же тут бред написан!,2019-04-10 18:46:36
1573,"Я живу на Ивовой. И даже с учётом того, что, допустим, дом на ближнем плане снесли, я ничего не узнаю.

Хотя нет, я понял)",2019-03-08 05:35:42
1568,,2019-02-28 20:27:12
1569,Пипец как грибы в игре растут. Осталось только пастроить пирс и полосу для самолётов. И вуаля Ботанический ад. 🤣🤣🤣🤣,2019-02-28 21:21:40
1562,"Если это тот, который сломали, то очень жалко. Уютный храм был.",2019-02-24 13:03:26
1555,надо городок русанова - игарский сделать устоновить шлак баумы и пропускной режим среди своих,2019-02-15 16:57:51
1539,"Буквально вчера там ехал и обратил внимание,что куча знаков Кирпич висит...",2018-12-29 13:53:50
1522,Самой интересно. Идёт со стороны Берингова проезда.,2018-11-06 20:08:53
1482,"Почему бы не снимать такое кино, а не гордо и слезливо смотреть в прошлое?",2018-08-09 13:23:57
1483,"[id4622040|Анатолий], возможно потому, что, к сожалению, на добром и вечном деньги не заработаешь.",2018-08-09 14:41:57
1484,"Лежать на грязном мешке — нет, спасибо",2018-08-09 14:54:19
1485,"[id1315687|Мария], прекратить, заработать можно на всём",2018-08-09 16:20:08
1486,"[id4622040|Анатолий], современные люди привыкли к экшену и спецэффектам. Даже в экранизации книг (нашумевших ныне) вставляют кучу подобных сцен, хоть в книгах их вовсе не было. А о добром и вечном картины если и снимают (наверняка снимают), то в широкий прокат их невыгодно ставить. Какие-нибудь мелкие кинофестивали и закрытые показы - вот их судьба.",2018-08-09 19:51:16
1487,"[id178876100|Александр], тогда стойте на газоне или принесите складную мебель, как вариант. Впрочем никто не настаивает.",2018-08-09 19:52:27
1488,"[id1315687|Мария], нормальные люди смотрят кино дома на диване",2018-08-09 20:06:15
1489,"[id178876100|Александр], о чём тогда речь? Но многие предпочитают большой экран в кинотеатрах. А тут ещё и свежий воздух. Опять-таки я не настаиваю.",2018-08-09 20:07:35
1491,"[id1315687|Мария], сколько обречённости в каждом слове... Обречённости и неопределённость - что с вами, девушка? Поп-культура конечно шире, чем такое кино, но говорить, что это неприбыльно и останется незамеченным нельзя.",2018-08-10 02:52:55
1492,"[id4622040|Анатолий], конкретный пример, пожалуйста.",2018-08-12 20:52:26
1456,"Мой дом, 5 этажный , был когда-то 😂😂😂",2018-06-14 21:26:29
1451,"Там будет магазин       ""Ветеран"", переехавший с Лазоревого проезда",2018-06-04 07:18:12
1414,Я только один знаю. Монтессори-сити.,2018-01-28 15:39:24
1416,"[id4704694|Дина], спасибо. Изучу",2018-01-29 16:28:35
1393,"Прикольно, даже с обоих сторон 😊 👍",2017-11-28 10:11:40
1415,"Я только не поняла, почему шезлонги перед зимой поставили :)))",2018-01-28 15:41:08
1344,Так вот как эти рыжие утки называются 😍 расскажу ребёнку! Любим кормить утей на пруду,2017-09-23 19:51:25
1312,А это где именно?,2017-07-26 21:16:10
1313,"[id8026676|Николай], https://vk.com/club249423?z=photo-249423_456239091%2Fwall-249423_1309",2017-07-26 21:19:15
1314,"[id1315687|Мария], спс.",2017-07-26 21:21:13
1297,Да),2017-05-31 10:27:13
1301,Давайте пробежимся вместе как-нибудь,2017-06-22 20:54:23
1315,Есть :),2017-07-26 22:43:52
1287,Есть видео встречи?,2017-05-25 15:49:43
1258,Этот ЖК долгостроят уже 10 лет! На месте котлована этой стройки на Серебрякова сейчас пруд.,2017-03-11 12:37:48
1254,Игарской блин... грамотеи...,2017-03-01 19:44:50
1255,"На Снежной в чукотке,где атак",2017-03-03 21:50:56
1256,Спасибо!  Именно там и нашла),2017-03-04 08:29:40
1232,Это чемпионство просто! Собянин молодчага!,2016-12-30 13:49:35
1211,"хочу , но в такой холод 6:13 не осилю",2016-11-30 15:39:09
1190,✌👍😉👍,2016-09-16 17:58:22
1164,Уберите её,2016-05-22 21:32:13
1165,"Строительство по их плану должно закончится еще в 2015, эта стройка портит всю красоту пруда🙈 мы , как жители, можем ускорить процесс ее сноса?",2016-05-23 04:40:28
1166,"[id889945|Оксана], кто-нибудь куда-нибудь обращался по этому вопросу или все просто негодующе смотрят?",2016-05-23 05:22:14
1167,"[id1315687|Мария], не знаю, я перехала в дом напротив этой стройки совсем недавно. Куда идти не знаю)",2016-05-23 07:36:21
1145,А вот и он!,2016-03-30 21:47:30
1123,3000 сад 2659,2016-02-09 10:26:31
1096,это норма))) у нас по игарскому в прошлом году тоже было),2015-11-20 14:32:05
1087,Не даром на Ивовой столько фильмов снимают),2015-11-16 21:40:10
1089,"[id14509540|Коля], есть специальная тема в группе, если есть желание что-нибудь рассказать, будем рады и признательны) http://vk.com/topic-249423_9186194",2015-11-16 21:45:01
1088,Армяне в тумане),2015-11-16 21:40:53
1076,"Полагаю белая панель там стоит для того, чтобы жильцы по сырому бетону не ходили.",2015-11-13 11:11:44
1077,"Станислав, обычно в таких случаях кладут горизонтально прямо на залитый участок.",2015-11-13 11:23:47
1078,"Серый квадрат закрывает проход, что бы люди не ходили.",2015-11-13 14:42:30
1079,"Речь идёт о качестве исполнения. Могли бы сфотографировать хотя бы получше (в идеале, когда всё высохнет, но кто будет возвращаться через несколько дней ради фото), коль сделать качественно не умеют.",2015-11-13 19:20:36
1042,"Всегда думал, что название происходит от реки Игарка, расположенной на Севере. Даже в справочнике улиц 60-х годов было написано именно так. Но видимо Википедии лучше знать...",2015-10-25 07:10:45
1043,"[id929501|Дмитрий], возможно и так.",2015-10-25 07:27:28
1045,Продолжение радужной?..,2015-10-25 18:25:29
1046,"[id2680509|Максим], почему бы и нет?",2015-10-25 20:49:56
1047,Ну ну...,2015-10-25 21:03:30
1048,"[id2680509|Максим], если учесть, что на перекрёстке они друг напротив друга, то продолжение. Но в целом получается угол, поэтому ваши сомнения понятны. Спорный вопрос.",2015-10-25 21:11:56
1017,А что вообще значит это голосование?,2015-10-17 22:38:20
1018,"[id44029222|Ваня], выбираем лучшую улицу района) (по среднему баллу каждой улицы)",2015-10-17 22:42:35
1019,"При таком раскладе победит снежная, ибо она самая длинная:)",2015-10-17 22:51:53
1021,"[id1817656|Егор], почему же? Мы же выбираем не по количеству жителей данной улицы (кстати, такой опрос закреплён на главной странице группы, голосуйте, если ещё не успели). Голосуют все, кто хочет, за любую улицу. Сейчас лидирует Берингов пр-д, а он самый короткий из представленных на данный момент)",2015-10-17 22:55:37
1022,"[club249423|СВИБЛОВО], никак не могу понять, что значит в голосовании 1,2,3,4,5, мне кажется в голосовании нужно указывать все улицы, а не каждую по отдельности! Если Вы конечно не хотите знать про каждую улицу конкретно, но информация при этом будет искажена т.к. я например все остальные кроме своей поставил 1!",2015-10-17 23:03:06
1023,"[id1817656|Егор], ваше право оценивать объективно или заваливать остальные улицы ради победы своей. Лично я голосую объективно, надеюсь, большинство тоже. В этом и смысл. 1,2,3,4,5 - это баллы, как оценки в школе.",2015-10-17 23:06:54
1024,"[id1315687|Мария], да я не против, просто мне кажется что моя улица самая лучшая:)
Ну судя по оценкам оценивает человек 15 примерно:) поэтому объективно полюбому не получится...",2015-10-17 23:11:13
1025,"[id1817656|Егор], кто хочет - голосует. Конечно, до объективности далеко, но определённая картина сложится.",2015-10-18 05:35:50
1011,Между домами Берингов 4 и Берингов 3 есть возвышенность — остаток ж.-д. платформы. А дом Берингов 5 стоит на самой железной дороге.,2015-10-16 03:02:18
1012,"Только недавно задумалась как же называется эта улица у сбербанка, оказалось уже никак",2015-10-16 07:47:55
1013,"Азат, сам дом номер три стоит на возвышенности, а платформа Дзержинская, если не путаю, доходила почти до трамвайных путей. Впоследствии, когда закрыли участок до Лосиноостровской, стала пересадочной на трамвай.",2015-10-16 11:30:56
997,А меня вот все эти новшества не радуют! Куда дели старинные часы с дома на Вересковой улице???,2015-10-05 14:18:02
998,"[id3003496|Дмитрий], может, на реставрацию. Да и висели они весьма неидеально, могли упасть.",2015-10-11 21:11:16
999,"[id1315687|Мария], ди их уж года 3-4 как без палива сняли",2015-10-11 21:51:32
1000,"[id3003496|Дмитрий], ну что тут скажешь?",2015-10-12 04:22:52
1010,"Я бы еще хотела, чтобы убрали подвальный магазин на Снежной, на месте бывшего фитнеса",2015-10-15 23:51:49
1035,Доброго времени суток! Предложение еще актуально?,2015-10-22 00:16:11
1044,"[id15946177|Elis], да конечно, пишите в лс пожалуйста",2015-10-25 09:27:57
985,Подписали бы ктонибудь где конкретно это,2015-09-23 16:38:45
986,"[id14509540|Коля], у меня такое ощущение, что только первое фото Свиблово. Этим пост плох. (",2015-09-23 19:17:38
969,Видимо никто не читает и админ не в курсе... Какая-то бестолковая группа получается! Отписываюсь.,2015-09-08 12:50:39
954,Кошмар,2015-08-26 12:54:33
955,Отправьте депутатам или в префектуру,2015-08-26 15:43:40
958,Найти и наказать!Прокуратура должна проверять такое,2015-08-31 08:19:01
947,Класс!!! 😃 👍 ✌ Я это всё видел своими глазами. Жаль было - дорогой (тогда для меня ) плёнки...(,2015-08-25 07:33:04
948,"Павел, для меня эти фотографии более ценны видом, многих зданий уже нет (
Но и строительство метро заслуживает внимания)",2015-08-25 12:27:17
924,https://vk.com/varlamov?w=wall-24946565_672593,2015-05-27 20:20:52
927,"Справедливости ради надо отметить, что тему поднял Варламов, до этого властям было совершенно наплевать на то, что там было. Спасибо Зялту!",2015-06-02 13:51:34
932,Есть же сдравые люди),2015-06-11 07:21:41
920,,2015-05-27 20:12:36
915,"Но, по-моему, мы Свибловчане.",2015-05-26 21:43:01
908,"Разумеется, будет. Узнать, допустим, на портале Москвы, найдя нужный дом.",2015-05-24 18:15:17
911,"[id1315687|Мария], а вот и нет... Не каждый год отключают... http://oaomoek.ru/ru/naseleniyu/otklyuchenie-goryachej-vody",2015-05-24 22:26:05
912,"Валерий, в старых домах всегда, а в некоторых новых вовсе не отключают. Кому как повезло.",2015-05-25 05:16:58
896,"Напоминаем маршрут №Н6
http://www.mosgortrans.ru/fileadmin/projects/night_routes/new_posters/H6.jpg",2015-05-19 21:51:14
879,А что там в этой двух этажке было ? Не могу вспомнить,2015-05-17 23:02:44
880,"[id170039239|Алёна], школа творчества",2015-05-18 05:06:58
881,"[id170039239|Алёна], там было три этажа. Если не ошибаюсь, сначала это была школа, потом типа пту или училища, в последнее время там была ""Радуга"" - различные кружки для детей, потом их перевели, насколько понимаю, в новое здание во двор дома четыре по Берингову, напротив школы 1098.",2015-05-18 05:10:40
882,"[id1315687|Мария], не, они теперь на Амундсена рядом со Сбербанком",2015-05-18 05:16:04
883,"Галина, где детский сад был на первом этаже жилого дома? Другой вариант на ум не приходит.",2015-05-18 05:37:57
884,"[id1315687|Мария], я не знаю что там было. Встречала Ирину Семёновну, она сказала что туда Радуга переехала",2015-05-18 06:04:14
885,"Там танцы были калхида и калхидари, и иверия",2015-05-18 08:05:10
886,"[id6091753|Nikoloz], колхида была в соседнем белом здании. На днях размещу фото. Его ещё раньше снесли, примерно в 2003-04.",2015-05-18 11:49:05
887,Был тогда мелкий значит перепутал ^_^,2015-05-18 11:50:00
888,"[id6091753|Nikoloz], в Радуге тоже танцы преподавали, возможно, как раз Иверия.",2015-05-18 11:59:29
864,Красиво как!,2015-05-04 07:57:42
816,Есть где-нибудь информация о результатах публичных слушаний по данному вопросу?,2015-03-06 08:56:17
817,"[id4757428|Nina], возможно это: http://sviblovo.mos.ru/public-hearings/detail/1558654.html",2015-03-06 21:32:04
818,Спасибо,2015-03-06 21:37:58
819,"Ужас! Как они это протащили? Это же конец Свиблово как тихому зеленому району. Если сейчас в час пик можно с проспекта мира стоять 3 часа, то после постройки будем стоять все 5. В метро будет ад, когда все эти дома застроятся. По плану видно, что срубят добрый кусок яузского парка.",2015-03-10 23:14:33
809,"Между Игарским и окружной большая часть Свиблово,все снести и застроить башнями хотят,а Яузу вообще под землю загнать их мечта",2015-02-22 17:49:17
789,Покрасили?,2015-01-24 21:26:35
790,"[id1315687|Мария], мне трудно судить. Я её увидел впервые... В моём детстве, примерно на этом месте, у родителей друга Генки была ""дача"" с курами, кроликами, хрюшкой. 😊",2015-01-25 06:56:58
791,"[id94591987|Павел], 2009г.: http://vk.com/photo-249423_121473729
Получается, в центре ещё нечто добавили...",2015-01-26 20:40:29
792,"[club249423|СВИБЛОВО], получается - добавили)",2015-01-27 05:22:28
775,Чето модеры пропали задолбали с этим баром уже...,2014-12-20 19:32:00
742,"А как же снежная 17, корп.1???(((",2014-11-07 20:34:22
744,"[id34390442|Алеся], что с ним?",2014-11-07 20:47:00
745,Когда уже снесут то?!,2014-11-07 20:51:31
746,"[id34390442|Алеся], видимо, в планах пока нет...",2014-11-07 20:53:00
747,"[id1315687|Мария], такое чувство, что и никогда не будет(",2014-11-07 20:53:43
735,,2014-11-05 14:03:26
727,Ничего не меняется долгие годы...,2014-10-30 20:37:17
741,Там половина - простые заросли,2014-11-07 20:33:14
748,Эти заросли воздух чистят,2014-11-07 21:43:26
698,"Информация, конечно, интересная. Однако там есть про слово ""Родина"". А именно то, что его можно писать с маленькой буквы.
Поэтому, к данному порталу с долей недоверия.",2014-09-06 20:37:23
699,:-/,2014-09-06 22:20:25
700,"[id19007952|Виталий], так оно и есть. нас этому в школе учили, что ""Родина"" когда-то с большой, когда-то с маленькой. Но когда именно я так и не уяснила=( Так что портал прав, если разрешает оба варианта.",2014-09-07 18:46:21
701,"Поддерживаю. Если кто-то считает себя жителем не СвибловА, а СвибловО, тот и классику должен читать по-другому: «Недаром помнит вся Россия/Про день БородинО!»",2014-09-08 08:11:07
694,"Это шутка такая или автор не знает, что Свиблово не склоняется?",2014-09-05 19:36:20
695,"[id1975315|Victoria], Свблово склоняется! Как и все другие подобные геогр. названия.",2014-09-06 18:25:38
691,нашлись хозяева?,2014-08-30 10:11:51
686,Ммм... wifi не работает ни на одной станции метро в настоящий момент... Заработает ли у нас? Вопрос.,2014-08-19 18:47:56
687,"[id1975315|Victoria], на жёлтой ветке работает (в перегоне Новогиреево-Новокосино). По крайней мере на сайт метро заходит (больше никуда не успела).",2014-08-19 18:55:20
688,Работает на желтой и салатовой. Почти каждый день пользуюсь.,2014-08-20 04:24:17
678,В СвибловЕ ухо режет...,2014-07-26 14:12:35
679,"[id14509540|Коля], по правилам русского языка правильно склонять (""в Свиблове""), но ""в районе Свиблово"". Режет, потому что привыкли к неправильному.",2014-07-26 16:57:13
669,"Я, конечно, не специалист, но если змеи (как говорят) есть в Подмосковье, то почему их не может быть около Яузы? Другой вопрос, насколько эти змеи опасны...",2014-07-03 17:55:04
670,"По описанию похож на обычного ужа. Вообще наличие змей может свидетельствовать либо об относительной экологической чистоте района, либо о наличии нерадивых хозяев домашних животных)))",2014-07-04 12:45:48
