,0,1
14913,"И на сколько лет, интересно?",2021-08-28 21:06:50
14877,"Кто эту парашу пишет? В Северном Медведково сбили ребенка, крутое событие 😎
Дибилы, блять.",2021-08-24 21:38:42
14863,Конечно))),2021-08-22 15:12:32
14859,Это надо ставить ВЕЗДЕ,2021-08-21 20:38:43
14858,"Непонятно, почему за такие убийства до сих пор не введены смертные казни??",2021-08-21 20:38:18
14860,Ага. И выиграют родственники депутатов😂,2021-08-21 20:39:29
14831,Вот м...зь.,2021-08-18 13:51:53
14845,О..еть. кого только это многострадальная земля не носит,2021-08-19 19:08:11
14832,"Турникеты для подтягивания - класс 👍
Ладно, понимаю что опечатка, а если серьёзно, у нас на районе в каждом 2м дворе, близь парка, они есть. С брусьями вот сложнее, но при желании и их можно найти",2021-08-18 14:02:54
14849,"Обязательно нужны! И это острый вопрос для более зрелого населения района в качестве физического развития! Вы только посмотрите какие никчемные тренажеры на площадках, никакой пользы. Только ливер растрясти после шаурмы!) В ПАРКЕ ОБЯЗАНЫ БЫТЬ И ТУРНИКИ И БРУСЬЯ. Вы посмотрите на другие парки Москвы, где администрация района это реально сделала для людей, а никак в нашем районе для галочки. Предлагаю подготовить обращение к Главе администрации",2021-08-20 09:07:41
14826,"Здравствуйте! Вопросы обеспечения безопасности посетителей являются приоритетными для ГАУ «Парк Яуза».
Сквер, прилегающий к Лазоревому поезду, был передан на баланс ГАУ ""Парк Яуза"" в конце 2020 года. На момент передачи территория сквера не охранялась и не была оборудована системой видеонаблюдения.
Сразу после передачи было выделено целевое финансирование и начаты работы по разработке проектно-сметной документации на оборудование этой территории системой видеонаблюдения, интегрированной в городскую информационную систему ""Единый центр хранения данных"". Работы проводятся специализированной организацией.
Сейчас в сквере, прилегающем к Лазоревому поезду, круглосуточно функционирует 10 постов охраны, ведется патрулирование.",2021-08-18 08:41:46
14855,В каждом парке и сквере нужно такие ставить,2021-08-20 15:47:32
14808,"А что, суд уже был?",2021-08-16 14:22:51
14802,Это где они такое пишут?,2021-08-16 12:05:37
14789,,2021-08-15 15:53:15
14790,Погромы будут?,2021-08-15 16:18:02
14795,всех чурок можно убить на месте за преступление - не ошибешься,2021-08-15 19:57:14
14796,Печально,2021-08-15 20:24:22
14783,"Ага, уплыл.. там где он реку перебегал воды по щиколотку...",2021-08-14 18:26:17
14762,"А что обсуждать если это уже заложено в проекте, апартаменты",2021-08-11 13:37:30
14738,"Ура, спасибо! В том году брал - мне нравилось. Расстроился, когда они закрылись",2021-08-05 15:04:12
14715,И невзначай всё это происходит под партийными логотипами 🤡,2021-08-03 07:50:25
14692,Они и раньше не нужны были и не имели никакого смысла и пользы.,2021-07-30 11:21:52
14675,[club73328563|Свиблово| СВАО | Москва] спасибо!,2021-07-28 08:13:26
14631,"А тех, кто говорит в том паблике что-то не по линии партии — оперативно банят.",2021-07-21 15:06:34
14596,"Красивые карточки, жаль только, что в них простая ложь

https://www.golosinfo.org/articles/145260",2021-07-16 09:18:45
14597,https://www.golosinfo.org/articles/145258,2021-07-16 09:18:55
14561,"Группу ведет человек, который ни разу в Свиблово не был?
Вы постоянно места путаете.
На фото Кольский пруд. Это очевидно.",2021-07-09 19:24:48
14535,Пха,2021-07-06 20:09:56
14485,"А еще компьютер, интернет и навыки работы с ПК как минимум...",2021-06-29 19:34:09
14429,Проверки продавцов на наличие кассовых аппаратов и терминалов.,2021-06-23 12:20:00
14433,Да её просто НЕТ 🤗😂🤣😂🤣😂,2021-06-24 06:09:51
14398,"Посоветуйте, как купить картой через терминал и получить на покупку чек.",2021-06-19 07:35:20
14385,Добрый день. Сотрудники Жилищника проверили растения. Это не борщевик. Хорошего дня!,2021-06-18 09:43:08
14353,Суки,2021-06-14 15:31:39
14306,"Рейд показушный. Он закончился, и всё вернулось на круги своя",2021-06-07 11:00:07
14311,"Какой кошмар😱
Как живут люди в домах рядом с этим голодающим , воняющим местом.
А по выходным просто жесть😡",2021-06-07 19:52:14
14302,"Лучше расскажите о том, как оплатить там покупки картой и получить чек.",2021-06-05 15:36:48
14305,"Без своих весов туда лучше не соваться. Обвешиват невероятно дерзко, цены неадекватные.",2021-06-07 08:05:05
14260,Пропали она пропадом эта хорда вместе с её авторами,2021-05-30 14:08:44
14263,"Добрый день! Ищу человека, кто может сделать временную регистрацию на 1 год для зачисления ребенка в сад. Школа свиблово, корпус 4 
не бесплатно 
Спасибо!",2021-05-31 08:08:34
14227,Верхнюю восьмёрку тоже выкачали,2021-05-25 01:33:32
14228,"Где раньше плавали утки, теперь гуляет этот железный монстр🤗🤣😂🤣😂🤗✌🚴🚴🚴🚴",2021-05-25 05:21:42
14219,"Добрый день. Лавочки устанавливаются согласно паспортам дворовых территорий. Попросим ""Жилищник"" проверить информацию.",2021-05-24 10:45:13
14117,Ну да там по дну чайки и голуби гуляют🤧😳,2021-05-04 15:38:37
14104,Спасибо работникам метро👏👏👏✌✌✌🙏🙏🙏🙏,2021-05-02 12:46:29
14086,"Интересно, почему работы начали проводить в апреле, а не раньше или позже. Утки начинают гнездиться с начала апреля. Уже и яйца отложили скорее всего. Утят ждёт голодная смерть получается?",2021-04-29 15:54:41
14065,Сволочи они много кто не одивают их,2021-04-28 12:28:42
14066,Но это — другое,2021-04-28 13:06:28
14046,"Насколько знаю, в 31-ой нет прививок, а в другой район бабушка не готова мотаться, возраст, однако.",2021-04-26 18:04:42
14032,Какая красотища😃😎,2021-04-24 07:05:14
13914,Прямо в дождь со снегом?,2021-04-09 13:07:51
13927,Добрый день. Качели уже починили!,2021-04-11 17:34:08
13844,"Внимание! 
Появилась информация, как делаются лживые посты!",2021-04-01 21:08:22
13845,Как собака-то выглядит? Кого опасаться?,2021-04-01 21:26:04
13848,"Очередной лживый вброс, специально созданный для ненависти к бездомным животным и к людям не согласных с пропагандой их убийства!",2021-04-02 03:03:12
13867,А сколько туда людей поместится?,2021-04-04 17:37:03
13841,"Невольно напрашивается вопрос. А где же было правительство раньше, когда ветеранов было намного больше, чем сейчас? С каждым годом их становится все меньше и меньше...",2021-04-01 15:09:12
13811,,2021-03-29 16:03:39
13804,Бедные дети 😒,2021-03-29 10:58:59
13789,"Они и должны висеть не над проходом, а где-то сбоку, да?",2021-03-26 11:06:05
13757,"Чтобы разгрузить дорогу не лежачих надо убирать, а построить хотя бы 4х полосный мост через Яузу... Давно же пора, однако... 🤷‍♂️",2021-03-23 09:24:18
13714,"Вай ,вакансии уже есть на сайте ?",2021-03-17 08:33:14
13704,Гениальная пломба,2021-03-15 19:37:27
13633,14 Февраля уже прошёл.,2021-03-05 16:05:45
13622,Вот они активизировались,2021-03-04 14:51:33
13598,"Шаурму жаль, хорошая была",2021-03-02 14:17:58
13590,"Надо обратиться в ""ночлежку""!",2021-03-01 15:16:08
13488,"Вот так работаешь с утра до вечера, после смены с ног валишься, а тебе какой-то Алёша рот закрывает и посылает на улицу с лопатой 👍🏻",2021-02-17 11:11:46
13464,Он там вчера вечером въехал. До сих пор стоит?,2021-02-15 07:33:35
13456,"Вчера да ,но сегодня выходной я так поняла .На Беринговом проезде тропинок нет ,все идут только по широкой дороге .И к подъезду не подойти если консьержи сами не очистят подход",2021-02-13 09:33:13
13454,Вообще-то мы за это деньги платим,2021-02-13 07:37:07
13459,А вот и удаление комментариев 👍🏻,2021-02-13 13:01:26
13432,"Мне тут прислали классную новость - экоцентр появится в ""Парке Яуза"" в районе Отрадное! Здесь можно подробно об этом прочитать https://svao.today/2021/02/11/byvshuyu-stihijnuyu-sva..",2021-02-11 12:23:30
13417,А раньше на той стороне были флагштоки с развевающимися флагами... 🙄,2021-02-10 09:44:15
13413,"Да, перчатки очень помогут, ведь вирус капает с рук больного и впитывается в руки здорового (нет).",2021-02-09 14:21:55
13358,"Расскажите, пожалуйста, подробнее про клуб "" Авиатор"".",2021-02-03 10:30:51
13354,Запрещено кем? А то что?,2021-02-03 08:07:35
13343,"Добрый день! На портале ""Наш город"" жители района Свиблово могут оставить сообщение в теме ""Снег и гололед во дворе"" в категории ""Мой двор"". К тексту необходимо приложить актуальные фотографии.",2021-02-02 12:18:19
13286,Добрый день! Спортивные и детские площадки убирают ежедневно. Попросили «Жилищник» дополнительно проверить каток. Приносим извинения за временные неудобства,2021-01-27 12:48:42
13287,"Добрый день. Сообщить о том, что где-то еще не было уборки можно в личные сообщения [club173903562|Управа района Свиблово]. Мы оперативно передаем информацию ответственным лицам.",2021-01-27 12:50:14
13208,"Новости, которые мы заслужили.",2021-01-20 08:51:19
13198,"Добрый день! Сейчас на этом участке ведутся изыскательные работы перед строительством школы, работают геодезисты, отсюда и возникают ямы. Уважаемые жители, при возникновении подобных ситуации для более оперативного взаимодействия и решения проблемы, пожалуйста, пишите нам в личные сообщения группы управы. Хорошего дня!",2021-01-19 08:27:23
13192,"Ууу, как страшно!",2021-01-18 15:19:45
13184,Особенно молодец @marshalllcat,2021-01-17 15:40:51
13176,"Это мужчина, он может сдачу дать, а если пенсионерка? Не будет, да и не сможет подняться на лестницу и долбить. Да и воспитание у прошлого поколения другое",2021-01-15 18:54:30
13180,"Ну когда нет закона о том, что НИКТО не должен нарушать звуками чужих границ даже днем... Тогда люди прибегают к своим методам. Потому что оставлены без помощи государством и полицией. У себя дома живут под пытками. Не все выдерживают такое.",2021-01-16 16:04:26
13163,"Ого, фотография монитора, спасибо.",2021-01-14 14:51:50
13104,🤡🤡🤡,2021-01-05 12:00:41
13102,Там красотища🎄🎄⛄,2021-01-04 19:01:18
13091,"Да уж, как бы не повторить международный опыт и не выделять средства населению.",2020-12-31 13:08:51
13078,Единой России*,2020-12-30 15:02:08
13030,"Давайте определимся, какую именно церковь будут реставрировать? Потому что на этом фото Церковь в Останкино! До этого тут же и в телеграмме, писали, что нашу, свибловскую, которая в Усадьбе нарышкинской будут реставрировать (хотя, чего её реставрировать, если она в отличном состоянии). В общем, призываю немного серьёзнее относится к новостям. До этого на полном серьёзе ""восьмёрку"" перепутали с Капустинским прудом. Тот, кто это выкладывает - никогда а жизни не был в Свиблово, я прав?",2020-12-24 21:42:59
13000,"Добрый день. К сожалению, на данном этапе развития портала ""Наш город"" такой вопрос не рассматривается в рамках тем классификатора. Но с ним можно обратиться напрямую в управляющую организацию дома, информацию о которой можно найти на странице дома на портале во вкладке ""Управление домом"".",2020-12-21 12:48:04
13001,Добрый день. Входные группы и другие скользкие места обработали еще в субботу.,2020-12-21 13:06:44
12934,Этому граффити уже несколько лет 😉,2020-12-13 15:44:59
12936,Да-да. Появился. Пару лет назад,2020-12-13 22:26:06
12933,Ещё нет🤗,2020-12-13 15:38:43
12912,"На конечной в маршрутках до сих пор произносят, как ""русанОва""... как так-то???? При записи совсем ничего не смутило???",2020-12-10 14:13:17
12890,"В Северном районе решили признать территориюю ООПТ. Странно, что обошлось без Парфенова и активистов. Вот как это было https://youtu.be/Z7Eyz64LofM",2020-12-08 15:22:19
12891,Сколько раз они еще перенесут?) Интересно,2020-12-08 18:26:41
12906,Перенесли же,2020-12-10 04:20:45
12860,История развития фейковой новости об уходе префекта https://youtu.be/gZBTNUGjwnk,2020-12-05 12:24:39
12853,"Ваши баллы скоро сгорают, зато сроки Путина теперь нет 👍🏻",2020-12-04 19:00:58
12829,Добрый день. «Жилищник» обработает территорию – просьба передана коммунальщикам.,2020-12-03 07:38:17
12816,"Вот дворники пусть и изучают эти плакаты, а не перекладывают в синий контейнер все продовольственные отходы",2020-12-02 08:00:11
12821,"А к кому обратиться с жалобой, что вот уже как минимум неделю никто не убирает в подъезде?",2020-12-02 13:56:08
12782,Моя старая школа))),2020-11-27 20:50:41
12866,">3. Свибловцы покатаются на 10-ти катках района.

Только вот каток в Лазоревом проезде вдруг стал платным. 
Хотя чего от наших властей еще следовало ожидать...",2020-12-06 15:51:55
12772,"Погодите-ка. На фото слева не капустинский пруд, а ""Восьмерка""! Вы о чем?",2020-11-27 07:42:39
12768,Красоту такую застал!!!🙏👏🤝✌,2020-11-27 06:38:40
12769,Ничего себе такая красотка и толстюга😳🤗😍😁✨✨✨,2020-11-27 06:51:56
12770,Нее ещё не дошли🤗,2020-11-27 07:03:42
12696,Официальная страница газеты «Свиблово» одобряет выход на первый лёд в середине ноября?,2020-11-20 08:36:20
12683,"Добрый день. Еще ночью была проведена противогололедная  обработка дорог, с раннего утра – остановок общественного трнанспорта и подходы к соцучреждениям. Сейчас дворники продолжают убирать дворы. Свои замечания по работе коммунальных служб можете прислать нам в личные сообщения - будем оперативно передавать информацию в работу!",2020-11-19 09:53:44
12646,,2020-11-16 19:56:51
12635,"Да, было время🤗",2020-11-16 09:23:52
12597,"""мы всего-лишь районная газета"", говорили они
""мы не имеем никакого отношения к мэрии"", говорили они",2020-11-12 06:12:35
12615,"Давно пора выйти всей страной !!! Ситуация огонь ,херню нести не надо ,заболевшие у них ,лживые псины",2020-11-13 12:02:02
12581,А возвести невысотку очевидно слабо,2020-11-10 15:52:01
12583,🍩🍦🍩🍦🍩🍦🍩🍦🍩,2020-11-10 19:01:45
12553,,2020-11-07 22:49:11
12536,"Добрый день. Как верно рекомендуют в публикации, о неубранной парковой территории можно сообщать на портал ""Наш город"" в соответствующую тему категории ""Мой парк"" https://gorod.mos.ru/?show=info&do=theme&tab=description&theme=415",2020-11-05 12:45:48
12528,"А что было сотрудникам полиции и метрополитена, которые начали вытягивать гражданина на платформу, рискуя вместе с ним зажариться на контактном рельсе, вместо того, чтобы довести его до имеющейся в конце каждой платформы лестницы?",2020-11-04 04:02:45
12511,"На месте снесенных гаражей (ул. Уржумская, вл. 4/1) построят детско-взрослую поликлинику на 750 посещений в смену. По информации Департамента строительства города Москвы ориентировочный срок начала выполнения строительно-монтажных работ - I квартал будущего года.",2020-11-02 10:36:11
12457,"""благоприятная среда для РАЗМНОЖЕНИЯ ВИРУСОВ""?",2020-10-25 18:17:23
12452,"Ну всё, если бы не Сергей Семёнович, то ходили бы все с бумажными картами.",2020-10-24 20:36:39
12465,"Добрый день. Специалисты ГУП «Мосводосток» не выявили загрязняющих веществ в русле Яузы. По заключению эколога, пленка на поверхности воды может иметь природное происхождение. Мельчайшие частицы субстрата и углекислого газа вступают в реакцию, приводя к закисанию коллоидного слоя грунта. Пузырьки СО2 несут с собой подгнивший грунт, поднимая его на поверхность.  Химические компоненты могут образовать на поверхности воды маслянистый слой, иногда он переливается радужными цветами.",2020-10-27 10:22:50
12456,"Скажите, пожалуйста, а кто-то знает, какую функцию выполняет некая металлическая постройка на том здании, что изображено на фото к данному посту ?",2020-10-25 17:51:57
12435,"А я вам расскажу, что от них нет никакого толка, ведь из самих рук вирус не капает, а переносится он что с перчатками, что без них одинаково.
Лучше просто мыть их чаще и обрабатывать.",2020-10-23 01:06:28
12399,Пешеходный переход в районе дома № 35 будет - его устройство запланировано при реализации   Комплексной схемы организации дорожного движения (КСОД). Остановку «Проезд Русанова» перенесут по направлению к улице Снежная. Также предусмотрена установка ИДН. Реализация планируется в следующем году.,2020-10-19 14:41:00
12402,"Здравствуйте, уточним",2020-10-19 17:27:57
12369,Это улица Седова? Сколько же полос на ней?,2020-10-15 13:20:54
12363,Добрый день. Передали информацию в УК,2020-10-15 07:35:11
12333,Добрый день. Убрали скол ещё вчера.,2020-10-12 11:19:43
12313,"Кто напомнит ему о то, как правильно эту маску носить?",2020-10-09 14:41:47
12306,"Журналисты из газеты ""Свиблово"" не хотят рассказать подробнее, как ""дисциплина труда"" относится непонятным требованиям о предоставлении своей информации?",2020-10-08 14:07:07
12290,Добрый день. Искусственную неровность вскоре восстановят. Благодарим за неравнодушное отношение к жизни района!,2020-10-06 15:19:04
12250,Список пособий с суммами для оставшихся дома там тоже опубликовали?,2020-10-02 06:10:56
12247,Все в Турцию 🔥ура....,2020-10-01 18:49:57
12245,,2020-10-01 18:28:03
12246,,2020-10-01 18:42:21
12253,"Хороший пост. Правильно. Сейчас надо носить маски, особенно старшему поколению. Ведь именно они находятся в зоне риска.",2020-10-02 12:31:53
12221,42 года,2020-09-29 15:01:22
12218,А кто научит проверяющего носить маску?,2020-09-29 13:20:18
12211,"А Берингов проезд 3, жалуется уже больше года, что у нас нет детских площадок 😢",2020-09-28 14:38:14
12202,"Добрый день. Спасибо за обращение, сделаем заявку на ремонт освещения.",2020-09-28 04:55:25
12165,"Добрый день! Таблички может установить ГБУ ""Жилищник"" по личным заявлениям жителей. Просим обратиться в отдел благоустройства по адресу Берингов проезд, 3, чтобы оставить заявку. Благодарим за неравнодушное отношение к жизни района!",2020-09-23 09:33:02
12167,"Если таблички помогут, расскажите. дело не в табличках, а разруха не в клозетах",2020-09-23 11:23:12
12121,Добрый день. Аварийный элемент починим до конца этой недели. Приносим извинения за доставленные неудобства!,2020-09-17 14:38:10
12112,Добрый день. Это видео было выложено пару дней назад. Мусор был убран; уборка проводится ежедневно. Благодарим за неравнодушное отношение к жизни района!,2020-09-16 10:16:15
12114,"Каждый раз мусор замечается везде, где можно и проблема явно не в дворниках.",2020-09-16 11:23:16
12101,"Добрый день. У нас нет информации о планах по размещению дополнительных фонарей в сквере следующем году. Что касается существующего освещения: направили обращение в АО ""ОЭК"" с просьбой проверить все фонари и наладить их работу. Благодарим за неравнодушное отношение к жизни района!",2020-09-15 10:11:07
12051,"Хм хм, а их тоже нужно заранее согласовывать?",2020-09-09 19:40:12
12040,"Добрый день. Щиты поставили для информирования жителей о стартующем ремонте асфальта большими картами. Он запланирован по следующим адресам: Вересковая улица, 9 и 13 и Тенистый проезд, 12. Информацию разместим в ближайшее время.",2020-09-09 07:57:11
11938,"Добрый вечер. Заявка от жительницы поступила вчера днём, и спустя пару часов карусель починили. Хорошего отдыха)",2020-08-28 18:04:29
11935,"Добрый вечер. Мы связались с жильцом квартиры, где есть проблема с водой, и решаем ее. Приносим извинения за временные неудобства.",2020-08-28 16:58:46
11909,Добрый день. Установка фонарей на детской площадке запланирована в период с 2021 по 2023 год.,2020-08-26 13:35:30
11889,"Добрый день. Жалобу передали в управляющую компанию ""Свиблов ГРАД"" - она обслуживает дом 3 в Беринговом проезде. Приносим извинения жителям за доставленные неудобства.",2020-08-25 11:48:03
11876,"Добрый день. Совершенно верно, в работе. По результатам напишем здесь. Приносим извинения за доставленные неудобства.",2020-08-24 12:05:28
11887,Добрый день. Скол вчера вывезли. Хорошего дня),2020-08-25 08:11:26
11846,"Так мы вам и сказала ,ага....🤫",2020-08-20 13:47:10
11849,"Кхе кхе, а почему нанятая жильцами УК самовольно закрывает им доступ к собственным счётчикам?",2020-08-20 19:30:22
11831,"Добрый день! Управляющая компания ""Свиблов Град"" сообщила, что закрыла щитки. Если у Вас возникнут вопросы, Вы можете написать нам в личные сообщения. Хорошего дня!",2020-08-19 15:34:05
11822,По ивовой 4 есть информация?,2020-08-19 11:17:31
11792,"[id275006965|@ludmila.kotlyarova] Добрый день. К сожалению, сделать пандус быстро не получится: обустройство его на таком высоком уклоне - это работы капитального характера. Запланируем эти работы на будущий год.",2020-08-18 07:01:19
11796,Спасибо большое.,2020-08-18 09:54:59
11774,"Добрый день. Сделайте, пожалуйста, возле Гимназии на Седова пандус. Очень сложно ходить и с коляской и с велосипедом. А зимой и в дожди практически невозможно",2020-08-16 12:41:47
11759,"Здравствуйте. 10 августа поступили сообщения о минировании ряда социальных объектов. Оперативно были проведены действия по эвакуации посетителей и сотрудников центров госуслуг ""Мои Документы"". Правоохранительные органы тщательно провели проверки зданий МФЦ. Никаких подозрительных предметов на территории центров не обнаружено. Центр госуслуг возобновил свою работу 11 августа. В настоящее время центр госуслуг ведет прием в штатном режиме.",2020-08-14 12:08:24
11760,"Очень интересная тема экскурсии,но к сожалению, нет возможности поучаствовать. Может снимите это на видео и выложите в группе?",2020-08-14 13:49:42
11790,Есть информация что постоят на месте этой котельной?,2020-08-18 01:34:31
11728,"Добрый день! Лавочка в парке пострадала от рук вандалов. Как только починим, вернём на место. Просим жителей немного подождать, а впредь бережнее относиться к лавочкам в парке. Если Вы заметите, что кто-то портит элементы инфраструктуры, пожалуйста, сообщите об этом в полицию!",2020-08-13 08:48:46
11711,"Здравствуйте! Работы по замене асфальта проводит ГБУ ""Автомобильные дороги Москвы"". Ведутся они согласно утвержденному графику. Приносим извинения за временные неудобства!",2020-08-12 10:00:30
11719,"Да да, помогает. Спортив на снежной закрылся, вместо Сплава открылась пивная.",2020-08-12 14:09:42
11691,"Здорово, теперь объясните это полицейским и сотрудникам в метро.",2020-08-10 18:18:48
11690,"Здравствуйте. Сегодня, 10 августа, поступили сообщения о минировании ряда социальных объектов. Оперативно были проведены действия по эвакуации посетителей и сотрудников центров госуслуг ""Мои Документы"". Никто не пострадал. Правоохранительные органы тщательно ведут проверки зданий МФЦ. Никаких подозрительных предметов на территории центров не обнаружено. В настоящее время центры госуслуг постепенно возвращаются к работе в штатном режиме.",2020-08-10 16:31:10
11680,Животное,2020-08-10 09:54:43
11643,Фотка хороша!👏👏👏✌,2020-08-06 06:02:39
11671,Вот только альтернативных объездов там особо нет. У метро Ботанический сад тоже он вряд ли справится,2020-08-07 19:08:23
11606,"ХОЧУ в кино!!!🤗🤗✌
ХОЧУ а ЛЮБИМЫЙ САТУРН😁😍😍😍😜",2020-08-03 17:09:39
11604,А лифт есть? С коляской здесь не подняться...,2020-08-03 16:24:15
11585,"За отсутствие масок, которые государство выдаёт гражданам бесплатно*",2020-08-02 20:55:09
11586,"В этих странах людей не бросали на произвол судьбы ,так что пост не о чем !!!",2020-08-03 05:47:50
11577,"Надо сгонять посмотреть, чем заменили Костораму?🤔😎🤣😢🚴",2020-08-01 10:05:14
11542,Лучше бы в метро появились бесплатные маски.,2020-07-29 18:58:15
11512,"Здравствуйте! Восстановление покрытия - в ближайших планах ПАО ""МОЭК"". В настоящее время доступ на площадку закрыт. Приносим извинения за доставленные неудобства.",2020-07-27 14:09:17
11496,"Здравствуйте, уже убрали. Спасибо за заботу о районе.",2020-07-27 08:02:30
11472,Добрый день. Передано в работу,2020-07-24 13:19:39
11491,Мусор убрали. Благодарим за заботу о районе.,2020-07-27 06:00:14
11473,"Добрый день! С жалобой на просроченный и некачественный товар, как и по всем вопросам защиты Ваших прав потребителей Вы можете обратиться в Роспотребнадзор по городу Москве в СВАО по адресу: ул. Бажова, д.8, тел. (499)187-75-06. Благодарим Вас за неравнодушное отношение к жизни района!",2020-07-24 13:20:08
11416,"Здравствуйте. В этом месте по просьбам жителей в прошлом году обустроили зону тихого отдыха: уложили асфальт, установили лавочки и урны. Малые архитектурные формы пришлось убрать, так как МОЭК планировал ремонт проходящих рядом коммуникаций. На данный момент сроки работ неизвестны.",2020-07-20 18:23:06
11380,"Здравствуйте, передали в работу, проверим! Спасибо за сигнал",2020-07-17 10:30:22
11391,"Добрый день. В зоне ООПТ выкашиваются  лишь участки газона вдоль дорожек и около скамеек - для удобства отдыхающих. За тем, чтобы трава не перерастала, следят сотрудники ""Жилищника"". Лопухи на фото растут за пределами зоны, подлежащей скашиванию. При обследовании борщевик в указанном месте не обнаружен. В настоящий момент дополнительный покос не требуется.",2020-07-18 11:48:46
11373,"Здравствуйте. Это часть особо охраняемой природной территории. Покос травы там запрещен ФЗ от 14 марта 1995 г. N 33-ФЗ ""Об особо охраняемых природных территориях"".",2020-07-16 16:00:34
